Day,Close
22299,	2136.73
22298,	2163.66
22297,	2153.74
22296,	2160.77
22295,	2159.73
22294,	2150.49
22293,	2161.20
22292,	2168.27
22291,	2151.13
22290,	2171.37
22289,	2159.93
22288,	2146.10
22287,	2164.69
22286,	2177.18
22285,	2163.12
22284,	2139.76
22283,	2139.12
22282,	2139.16
22281,	2147.26
22280,	2125.77
22279,	2127.02
22278,	2159.04
22277,	2127.81
22276,	2181.30
22275,	2186.16
22274,	2186.48
22273,	2179.98
22272,	2170.86
22271,	2170.95
22270,	2176.12
22269,	2180.38
22268,	2169.04
22267,	2172.47
22266,	2175.44
22265,	2186.90
22264,	2182.64
22263,	2183.87
22262,	2187.02
22261,	2182.22
22260,	2178.15
22259,	2190.15
22258,	2184.05
22257,	2185.79
22256,	2175.49
22255,	2181.74
22254,	2180.89
22253,	2182.87
22252,	2164.25
22251,	2163.79
22250,	2157.03
22249,	2170.84
22248,	2173.60
22247,	2170.06
22246,	2166.58
22245,	2169.18
22244,	2168.48
22243,	2175.03
22242,	2165.17
22241,	2173.02
22240,	2163.78
22239,	2166.89
22238,	2161.74
22237,	2163.75
22236,	2152.43
22235,	2152.14
22234,	2137.16
22233,	2129.90
22232,	2097.90
22231,	2099.73
22230,	2088.55
22229,	2102.95
22228,	2098.86
22227,	2070.77
22226,	2036.09
22225,	2000.54
22224,	2037.41
22223,	2113.32
22222,	2085.45
22221,	2088.90
22220,	2083.25
22219,	2071.22
22218,	2077.99
22217,	2071.50
22216,	2075.32
22215,	2079.06
22214,	2096.07
22213,	2115.48
22212,	2119.12
22211,	2112.13
22210,	2109.41
22209,	2099.13
22208,	2105.26
22207,	2099.33
22206,	2096.95
22205,	2099.06
22204,	2090.10
22203,	2090.54
22202,	2076.06
22201,	2048.04
22200,	2052.32
22199,	2040.04
22198,	2047.63
22197,	2047.21
22196,	2066.66
22195,	2046.61
22194,	2064.11
22193,	2064.46
22192,	2084.39
22191,	2058.69
22190,	2057.14
22189,	2050.63
22188,	2051.12
22187,	2063.37
22186,	2081.43
22185,	2065.30
22184,	2075.81
22183,	2095.15
22182,	2091.70
22181,	2087.79
22180,	2091.58
22179,	2091.48
22178,	2102.40
22177,	2100.80
22176,	2094.34
22175,	2080.73
22174,	2082.78
22173,	2082.42
22172,	2061.72
22171,	2041.99
22170,	2047.60
22169,	2041.91
22168,	2066.66
22167,	2045.17
22166,	2066.13
22165,	2072.78
22164,	2059.74
22163,	2063.95
22162,	2055.01
22161,	2037.05
22160,	2035.94
22159,	2036.71
22158,	2049.80
22157,	2051.60
22156,	2049.58
22155,	2040.59
22154,	2027.22
22153,	2015.93
22152,	2019.64
22151,	2022.19
22150,	1989.57
22149,	1989.26
22148,	1979.26
22147,	2001.76
22146,	1999.99
22145,	1993.40
22144,	1986.45
22143,	1978.35
22142,	1932.23
22141,	1948.05
22140,	1951.70
22139,	1929.80
22138,	1921.27
22137,	1945.50
22136,	1917.78
22135,	1917.83
22134,	1926.82
22133,	1895.58
22132,	1864.78
22131,	1829.08
22130,	1851.86
22129,	1852.21
22128,	1853.44
22127,	1880.05
22126,	1915.45
22125,	1912.53
22124,	1903.03
22123,	1939.38
22122,	1940.24
22121,	1893.36
