Days,Open,High,Low,Close,Volume
19906,	1438.87,	1448.02,	1433.91,	1447.8,	2770570000.00
19905,	1448.23,	1448.39,	1436.15,	1438.87,	2950190000.00
19904,	1444.58,	1448.73,	1443.99,	1448.39,	2510110000.00
19903,	1443.77,	1448.1,	1443.28,	1444.61,	2349410000.00
19902,	1438.94,	1444.88,	1436.67,	1443.76,	2357230000.00
19901,	1437.75,	1440.16,	1435.08,	1439.37,	2616320000.00
19900,	1424.27,	1440.57,	1424.27,	1437.77,	2921760000.00
19899,	1420.83,	1425.49,	1416.37,	1424.55,	2875880000.00
19898,	1422.52,	1429.22,	1408.9,	1420.86,	2903960000.00
19897,	1417.17,	1426.24,	1413.27,	1422.53,	2854710000.00
19896,	1428.35,	1428.35,	1414.07,	1417.23,	3000440000.00
19895,	1437.49,	1437.49,	1425.54,	1428.61,	2673040000.00
19894,	1436.11,	1437.65,	1423.28,	1437.5,	2754660000.00
19893,	1434.54,	1438.89,	1433.21,	1436.11,	2619020000.00
19892,	1435.04,	1437.66,	1429.88,	1434.54,	3129970000.00
19891,	1410.92,	1437.77,	1409.75,	1435.04,	3184770000.00
19890,	1402.04,	1411.53,	1400.7,	1410.94,	2795940000.00
19889,	1386.95,	1403.2,	1386.95,	1402.06,	2777180000.00
19888,	1392.28,	1397.51,	1383.63,	1386.95,	3393640000.00
19887,	1387.11,	1395.73,	1385.16,	1392.28,	2821900000.00
19886,	1377.86,	1388.09,	1363.98,	1387.17,	3758350000.00
19885,	1406.23,	1406.23,	1377.71,	1377.95,	3485570000.00
19884,	1402.8,	1409.34,	1398.4,	1406.6,	2664000000.00
19883,	1401.89,	1410.15,	1397.3,	1402.84,	2623050000.00
19882,	1391.88,	1407.93,	1391.88,	1401.89,	3014850000.00
19881,	1395.02,	1401.16,	1390.64,	1391.97,	3141350000.00
19880,	1374.06,	1397.9,	1374.06,	1395.41,	3358160000.00
19879,	1387.11,	1391.86,	1373.97,	1374.12,	3480520000.00
19878,	1403.16,	1403.4,	1386.87,	1387.17,	3312260000.00
19877,	1406.8,	1409.46,	1380.87,	1403.17,	3874910000.00
19876,	1398.64,	1415.89,	1396.65,	1406.82,	3925250000.00
19875,	1449.25,	1449.25,	1389.42,	1399.04,	4065230000.00
19874,	1451.04,	1456.95,	1445.48,	1449.37,	2822170000.00
19873,	1456.22,	1456.22,	1448.36,	1451.19,	2579950000.00
19872,	1457.29,	1461.57,	1450.51,	1456.38,	1950770000.00
19871,	1459.6,	1459.6,	1452.02,	1457.63,	2606980000.00
19870,	1455.53,	1460.53,	1449.2,	1459.68,	2337860000.00
19869,	1456.77,	1456.77,	1451.57,	1455.54,	2399450000.00
19868,	1455.15,	1457.97,	1453.19,	1456.81,	2490920000.00
19867,	1443.91,	1457.65,	1443.91,	1455.3,	2699290000.00
19866,	1433.22,	1444.41,	1433.22,	1444.26,	2652150000.00
19865,	1438,	1439.11,	1431.44,	1433.37,	2395680000.00
19864,	1448.25,	1452.45,	1433.44,	1438.06,	2951810000.00
19863,	1449.99,	1450.45,	1442.81,	1448.31,	2816180000.00
19862,	1447.41,	1452.99,	1446.44,	1450.02,	2618820000.00
19861,	1446.98,	1450.19,	1443.4,	1448,	2608710000.00
19860,	1448.33,	1449.38,	1443.85,	1446.99,	2439430000.00
19859,	1445.94,	1449.33,	1444.49,	1448.39,	2569450000.00
19858,	1437.9,	1446.64,	1437.9,	1445.94,	2914890000.00
19857,	1428.65,	1441.61,	1424.78,	1438.24,	2976690000.00
19856,	1420.61,	1428.82,	1420.61,	1428.82,	2706250000.00
19855,	1422.03,	1426.94,	1418.46,	1420.62,	2730480000.00
19854,	1423.9,	1427.27,	1416.96,	1422.18,	2626620000.00
19853,	1440.12,	1440.69,	1422.34,	1423.9,	2994330000.00
19852,	1427.96,	1440.14,	1427.96,	1440.13,	2783180000.00
19851,	1422.95,	1431.33,	1421.66,	1427.99,	2975070000.00
19850,	1430.47,	1431.39,	1420.4,	1422.95,	2540120000.00
19849,	1426.35,	1431.57,	1425.19,	1430.5,	2777480000.00
19848,	1430.59,	1432.96,	1424.21,	1426.37,	2822430000.00
19847,	1431.77,	1435.27,	1428.57,	1430.62,	2690270000.00
19846,	1430.73,	1433.93,	1428.62,	1431.9,	2599530000.00
19845,	1423.82,	1431.23,	1422.58,	1430.73,	2686480000.00
19844,	1414.84,	1427.12,	1414.84,	1423.82,	2857870000.00
19843,	1408.7,	1415.99,	1405.32,	1414.85,	2764660000.00
19842,	1412.84,	1415.61,	1405.42,	1412.11,	3038380000.00
19841,	1409.26,	1414.98,	1403.97,	1412.84,	2763340000.00
19840,	1418.34,	1418.34,	1405.75,	1409.71,	2919400000.00
19839,	1416.6,	1421.84,	1408.43,	1418.34,	3004460000.00
19838,	1418.03,	1429.42,	1407.86,	1416.6,	3429160000.00
19837,	1424.71,	1427,	1416.84,	1418.3,	1678200000.00
19836,	1426.77,	1427.26,	1422.05,	1424.73,	1508570000.00
19835,	1416.63,	1427.72,	1416.63,	1426.84,	1667370000.00
19834,	1410.75,	1417.91,	1410.45,	1416.9,	1310310000.00
19833,	1418.1,	1418.82,	1410.28,	1410.76,	1647590000.00
19832,	1423.2,	1426.4,	1415.9,	1418.3,	2322410000.00
19831,	1425.51,	1429.05,	1423.51,	1423.53,	2387630000.00
19830,	1422.42,	1428.3,	1414.88,	1425.55,	2717060000.00
19829,	1427.08,	1431.81,	1420.65,	1422.48,	2568140000.00
19828,	1425.48,	1431.63,	1425.48,	1427.09,	3229580000.00
19827,	1413.16,	1427.23,	1413.16,	1425.49,	2729700000.00
19826,	1411.32,	1416.64,	1411.05,	1413.21,	2552260000.00
19825,	1413,	1413.78,	1404.75,	1411.56,	2738170000.00
19824,	1409.81,	1415.6,	1408.56,	1413.04,	2289900000.00
19823,	1407.27,	1414.09,	1403.67,	1409.84,	2440460000.00
19822,	1412.86,	1418.27,	1406.8,	1407.29,	2743150000.00
19821,	1414.4,	1415.93,	1411.05,	1412.9,	2725280000.00
19820,	1409.1,	1415.27,	1408.78,	1414.76,	2755700000.00
19819,	1396.67,	1411.23,	1396.67,	1409.12,	2766320000.00
19818,	1400.63,	1402.46,	1385.93,	1396.71,	2800980000.00
19817,	1399.47,	1406.3,	1393.83,	1400.63,	4006230000.00
19816,	1386.11,	1401.14,	1386.11,	1399.48,	2790970000.00
19815,	1381.61,	1387.91,	1377.83,	1386.72,	2639750000.00
19814,	1400.95,	1400.95,	1381.44,	1381.96,	2711210000.00
19813,	1405.94,	1405.94,	1399.25,	1400.95,	832550000.00
19812,	1402.69,	1407.89,	1402.26,	1406.09,	2237710000.00
19811,	1400.43,	1403.49,	1399.99,	1402.81,	2597940000.00
19810,	1401.17,	1404.37,	1397.85,	1400.5,	2546710000.00
19809,	1399.76,	1401.21,	1394.55,	1401.2,	2726100000.00
19808,	1396.53,	1403.76,	1396.53,	1399.76,	2835730000.00
19807,	1392.91,	1401.35,	1392.13,	1396.57,	2831130000.00
19806,	1384.36,	1394.49,	1379.07,	1393.22,	3027480000.00
19805,	1380.58,	1387.61,	1378.8,	1384.42,	2386340000.00
19804,	1378.33,	1381.04,	1375.6,	1380.9,	2290200000.00
19803,	1385.43,	1388.92,	1377.31,	1378.33,	3012050000.00
19802,	1382.5,	1388.61,	1379.33,	1385.72,	2814820000.00
19801,	1379.75,	1388.19,	1379.19,	1382.84,	2636390000.00
19800,	1364.27,	1381.4,	1364.27,	1379.78,	2533550000.00
19799,	1367.31,	1371.68,	1360.98,	1364.3,	2419730000.00
